Year,Age,Incidence,Inc_LCI,Inc_UCI,CoB
2001,83,18.08803258340766,12.113839301894211,25.9774320224208,Total
2002,83,15.120178418105334,10.047248751698337,21.852867673203367,Total
2003,83,14.82866710878063,10.385816139898267,20.529125763258758,Total
2004,83,11.830457308366988,7.923042931321312,16.99051011242467,Total
2005,83,14.09503470368393,9.702373335923047,19.794669201994356,Total
2006,83,10.651092402664547,6.82435587726678,15.847981215801429,Total
2007,83,14.28131513060709,9.768408977272431,20.160955812459765,Total
2008,83,11.583768467200114,7.566902150836856,16.972904711530763,Total
2009,83,16.725057657435606,11.835646223304233,22.956448354456615,Total
2010,83,10.088294508020194,6.395113334113209,15.137395068505235,Total
2011,83,13.512099867494246,9.180816296090144,19.17934719264278,Total
2012,83,14.381916009610505,9.959894920887733,20.097286088120157,Total
2013,83,12.650737619620886,8.59556243920172,17.95671223785377,Total
2014,83,12.827039399053202,8.773685453449698,18.107952395417726,Total
2015,83,10.834931820188286,7.140288342321554,15.764256942447288,Total
2000,84,12.513601741022851,7.932550074561852,18.776546732770964,Total
2001,84,14.739298655038997,9.443746763303116,21.930908059788248,Total
2002,84,13.014055179593962,7.835311353986913,20.323059242435136,Total
2003,84,8.808296240619164,4.929936540796103,14.527945125186937,Total
2004,84,19.06993216552701,13.74392973750588,25.777008371923,Total
2005,84,11.162558101114916,7.223819045033922,16.47813777165441,Total
2006,84,10.709280289802438,6.78876505098301,16.06917864235801,Total
2007,84,10.608186626934184,6.648094081224769,16.06092203808592,Total
2008,84,10.171905197843556,6.2965696383530165,15.548837610349858,Total
2009,84,14.983518130056938,10.180573616993172,21.267907964101795,Total
2010,84,13.31095824637633,8.845035086667426,19.238040790132867,Total
2011,84,15.159195236222898,10.368878319643269,21.400260586291573,Total
2012,84,12.215404564802721,7.979507820488212,17.89839794176307,Total
2013,84,12.772557248426239,8.487271533554207,18.459901442965144,Total
2014,84,8.738088892578304,5.337451704759178,13.4952695930561,Total
2015,84,10.364081548048313,6.640462607122051,15.42093181460092,Total
2000,85,10.198300283286118,6.044159082379335,16.117711199732568,Total
2001,85,11.59651846745566,6.872831792757025,18.327498738896647,Total
2002,85,15.675049410481838,9.936636704862456,23.520270493309503,Total
2003,85,12.933165962950286,7.534045775501,20.70725156217932,Total
2004,85,14.168410883915632,8.879267668478256,21.45114434849476,Total
2005,85,11.105109864871004,6.959513228825641,16.813269792145277,Total
2006,85,7.875217183723894,4.5013670656652955,12.788859322810543,Total
2007,85,12.261977141630943,7.856480125218525,18.2448500175005,Total
2008,85,9.507460715700516,5.6347237715037775,15.025886844066017,Total
2009,85,9.547400189887183,5.658394435138424,15.089008432225652,Total
2010,85,12.12012626009791,7.683120372374903,18.186140316721577,Total
2011,85,9.322174345376203,5.524911325612947,14.733054497186767,Total
2012,85,16.462090891319335,11.260057983231594,23.239560503030294,Total
2013,85,15.359174290790127,10.362770396430998,21.926176330901974,Total
2014,85,10.842779694430755,6.795112307653826,16.416098761520573,Total
2015,85,12.354713323132774,8.070508926563745,18.102517549929683,Total
2000,86,12.086513994910941,7.27687096969894,18.874588785995932,Total
2001,86,15.495102200304512,9.82256560966132,23.250261324786123,Total
2002,86,9.416059451550753,5.013655090469357,16.101748430530396,Total
2003,86,7.645435292858399,3.6662833980385128,14.06022771318744,Total
2004,86,11.992975542896303,6.556671329336188,20.12217511614818,Total
2005,86,13.523324175433103,8.14192455719422,21.118345863703116,Total
2006,86,18.65502894356006,12.841263551877848,26.198596502560424,Total
2007,86,8.216431768011788,4.598674488408431,13.551754685549401,Total
2008,86,13.584188005161993,8.703645574207284,20.212194974842763,Total
2009,86,9.3473777684304,5.34283403943514,15.17955588128886,Total
2010,86,12.8388433369321,8.04603476538742,19.438163104155258,Total
2011,86,12.751996846778962,7.991608532378255,19.30667647437732,Total
2012,86,14.223051584163487,9.204409059417836,20.99602988976018,Total
2013,86,12.448719762342623,7.801546398206034,18.847511323879047,Total
2014,86,15.629448113023239,10.385654765506663,22.588904176561517,Total
2015,86,10.302290904161582,6.202652115692956,16.0883034141714,Total
2000,87,10.286554004408522,5.62375479522454,17.259089729489773,Total
2001,87,15.321796020929574,9.35895105866252,23.66327128210843,Total
2002,87,17.60240004898059,11.15841167960929,26.41224277140837,Total
2003,87,9.074260447773506,4.529838121163518,16.236358510255528,Total
2004,87,9.563471018335783,4.774050275373053,17.111691354884723,Total
2005,87,8.730489780476685,3.9921358632789135,16.573189103785317,Total
2006,87,8.703013616260394,4.344513040466513,15.572095379729852,Total
2007,87,11.531586938555861,6.8343492535857,18.22487892956634,Total
2008,87,10.455233151699282,6.090558598265224,16.739841090238876,Total
2009,87,12.050026636900988,7.254903196660705,18.81760925669449,Total
2010,87,9.106224104175203,4.978457455266064,15.278696718400154,Total
2011,87,16.220915897795255,10.497321503633048,23.945271731180732,Total
2012,87,14.8043254376931,9.384672397685815,22.213757012637124,Total
2013,87,12.026610458087262,7.240805127366068,18.78104199286354,Total
2014,87,12.49375312343828,7.631508986384274,19.295588394974136,Total
2015,87,13.683379048258791,8.575300799376542,20.71680032039336,Total
2000,88,18.356643356643357,11.363051559507156,28.060079313761705,Total
2001,88,12.53357206803939,6.852220480125872,21.02920422724761,Total
2002,88,18.510683308652425,11.458404717647015,28.295545743374404,Total
2003,88,14.960311174472428,8.714932563851741,23.95290741847212,Total
2004,88,11.445467118126759,5.914039876696283,19.99292770106057,Total
2005,88,6.992657709405125,2.8114110698964763,14.407547436893637,Total
2006,88,11.105311670572034,5.325428605208872,20.423063557939493,Total
2007,88,8.83462466097128,4.236545923379451,16.24718930128524,Total
2008,88,13.284721094661018,7.873367662331561,20.995586717882702,Total
2009,88,9.119671130628767,4.855840792291636,15.594915375175466,Total
2010,88,11.433471487780478,6.535216845534889,18.567241387423863,Total
2011,88,13.891427526960335,8.363546820959044,21.69318484488072,Total
2012,88,14.573860324122656,8.902092504229294,22.50814525961481,Total
2013,88,10.156703424260012,5.552764274739262,17.041222520194122,Total
2014,88,12.734797835084368,7.547448286391118,20.126470881550805,Total
2015,88,15.537271796320493,9.73712551448117,23.523616220293967,Total
2000,89,12.552301255230127,6.485957226696881,21.926344192653715,Total
2001,89,15.153155103366165,8.284370901938088,25.42441944132003,Total
2002,89,10.47504320955324,5.023190379859042,19.263977417920465,Total
2003,89,12.375344189260263,6.394520928483111,21.61723581030346,Total
2004,89,4.108758846671392,1.1194984988919965,10.520054518508621,Total
2005,89,7.8250760150241465,3.146086401716897,16.122647292190997,Total
2006,89,13.911108019753774,7.188072510169273,24.29990615587043,Total
2007,89,12.872166514346029,6.172704179762937,23.67237252309624,Total
