Year,Age group,Incidence,Inc_LCI,Inc_UCI,CoB
2013,30-34,27.006397088902318,25.345974188993896,28.74702726924778,Total (LFS)
2014,30-34,23.475679006132783,21.93535172003368,25.095641366172345,Total (LFS)
2015,30-34,18.86679743681853,17.49292487413577,20.319899602625984,Total (LFS)
2016,30-34,0,0,0.0991825961553842,Total (LFS)
2000,35-39,12.27350807675173,11.1888414988119,13.434928572324452,Total (LFS)
2001,35-39,13.343672322601149,12.22022014638218,14.542636996448772,Total (LFS)
2002,35-39,16.16089748883539,14.929148730526839,17.467172903828182,Total (LFS)
2003,35-39,16.238247568322425,15.004400543560832,17.54650688232472,Total (LFS)
2004,35-39,16.74145535994129,15.485615272238373,18.072015898911005,Total (LFS)
2005,35-39,20.502964965108987,19.104918116611483,21.976261784523885,Total (LFS)
2006,35-39,20.823018825561046,19.409226551521403,22.312567300690002,Total (LFS)
2007,35-39,19.47760336706666,18.104794165799873,20.926912950281807,Total (LFS)
2008,35-39,22.28182293395705,20.801155917545557,23.840063810150518,Total (LFS)
2009,35-39,23.234194451793513,21.705351669477515,24.8423150371735,Total (LFS)
2010,35-39,21.82847960904612,20.331734149987557,23.40625920123924,Total (LFS)
2011,35-39,24.00098056262631,22.407003577895082,25.67841682558225,Total (LFS)
2012,35-39,23.78922104820999,22.17991780530825,25.484427810931987,Total (LFS)
2013,35-39,22.07838123695623,20.51608502364292,23.72810004744694,Total (LFS)
2014,35-39,20.16871725178686,18.681097508787037,21.743290185455283,Total (LFS)
2015,35-39,19.82605399314751,18.365813434162316,21.371518174870612,Total (LFS)
2016,35-39,0,0,0.10478940601338517,Total (LFS)
2000,40-44,12.316813370301581,11.160158461533097,13.560786010073514,Total (LFS)
2001,40-44,12.741352565360105,11.57977862567314,13.98788751328275,Total (LFS)
2002,40-44,11.90476858982962,10.798445273739985,13.093682885711065,Total (LFS)
2003,40-44,12.516556363943115,11.39515507710976,13.718475351240071,Total (LFS)
2004,40-44,13.959369143483062,12.787387123307386,15.209890648559131,Total (LFS)
2005,40-44,14.919930575371993,13.72212882966444,16.19428907528936,Total (LFS)
2006,40-44,15.163501093057121,13.964473069120489,16.43794592604297,Total (LFS)
2007,40-44,14.625014625014625,13.453892236020254,15.87078628359591,Total (LFS)
2008,40-44,15.842041370359464,14.622313340412218,17.136360221385747,Total (LFS)
2009,40-44,16.838469151338607,15.579104978275877,18.172529063961512,Total (LFS)
2010,40-44,15.572715572715573,14.356378108321136,16.864572009035303,Total (LFS)
2011,40-44,17.225899671179594,15.941364631645781,18.586386523602222,Total (LFS)
2012,40-44,17.524554647446504,16.222539947930507,18.90325767380497,Total (LFS)
2013,40-44,17.312542022020068,16.00996866993539,18.69286108179364,Total (LFS)
2014,40-44,15.166172502212635,13.93590023019563,16.47594429401294,Total (LFS)
2015,40-44,14.020897497836717,12.826848248050013,15.296183493611283,Total (LFS)
2016,40-44,0,0,0.10509729878049917,Total (LFS)
2000,45-49,11.643061783375192,10.472843574402882,12.908278460821245,Total (LFS)
2001,45-49,12.534481877549684,11.321192047044415,13.842376817290369,Total (LFS)
2002,45-49,11.814157883004809,10.64243288046811,13.079657199678573,Total (LFS)
2003,45-49,12.034732550731869,10.86247035628478,13.29901749007097,Total (LFS)
2004,45-49,12.688519525608742,11.49555559113087,13.971655362600066,Total (LFS)
2005,45-49,12.913107341998268,11.723970924705359,14.190158179031723,Total (LFS)
2006,45-49,13.515339910798756,12.314671734242044,14.80144371838337,Total (LFS)
2007,45-49,11.980932473425272,10.866248059091573,13.178934333843621,Total (LFS)
2008,45-49,13.52829166113341,12.356827932151612,14.780877774992627,Total (LFS)
